up,dn,up_id,dn_id,basin,dist_km,coupling,obs_lag_h,pred_lag_h,Tp,cg_ms
5,3,42055,42036,Gulf,1196.0616015295182,0.4109254642187486,3,72.54536,5.866543,4.5797462
6,3,42084,42036,Gulf,504.39034630141646,0.5440279483886535,9,33.385418,5.3758645,4.1966953
7,3,42095,42036,Gulf,520.455960323367,0.3667233758060313,3,34.434086,5.378161,4.198488
3,8,42036,42097,Gulf,322.1066543839339,0.7002583724120982,3,21.609118,5.30397,4.1405706
3,9,42036,42098,Gulf,184.65776795389004,0.8050239175144553,3,13.156074,4.9943576,3.8988705
3,10,42036,42099,Gulf,129.63624585536874,0.8969960020583421,2,8.585513,5.3727736,4.1942825
4,5,42040,42055,Gulf,981.5099878771769,0.40620260931541263,6,58.074528,6.0137777,4.694686
6,4,42084,42040,Gulf,139.33539013102617,0.8263097568579764,1,8.969017,5.527833,4.3153305
7,4,42095,42040,Gulf,819.4424285774534,0.35368305676621614,2,52.788513,5.523538,4.311978
4,8,42040,42097,Gulf,596.7219005049724,0.4520350200028923,12,38.90454,5.4577045,4.2605844
4,9,42040,42098,Gulf,549.1930053884049,0.4550544008469685,12,38.10302,5.1286607,4.0037146
4,10,42040,42099,Gulf,439.35265388768033,0.6055876882163511,9,28.343512,5.515666,4.3058324
6,5,42084,42055,Gulf,883.0754060344779,0.3694573863204701,8,53.01404,5.9271407,4.627052
5,7,42055,42095,Gulf,1265.3456774997148,0.26356129219455665,14,76.22964,5.906411,4.6108694
5,8,42055,42097,Gulf,1133.9706900560686,0.3854959319334522,13,68.74062,5.869847,4.582325
5,9,42055,42098,Gulf,1279.6038400527416,0.36380642363908083,9,82.38783,5.526508,4.3142962
5,10,42055,42099,Gulf,1149.4090338388771,0.4265386187164112,6,69.402626,5.8930078,4.600406
7,6,42095,42084,Gulf,917.045232057563,0.25788075198234756,2,60.47125,5.3961024,4.2124944
6,8,42084,42097,Gulf,695.4917336611276,0.3338096558397508,17,46.55666,5.3155537,4.149614
6,9,42084,42098,Gulf,675.7976935476644,0.3818278586297221,18,48.33168,4.9753447,3.8840277
6,10,42084,42099,Gulf,557.2347970701333,0.46010096666069694,12,36.787178,5.3898926,4.2076464
7,8,42095,42097,Gulf,222.8007170807336,0.645080329691631,1,14.899077,5.321028,4.1538873
7,9,42095,42098,Gulf,366.7803332428198,0.3430196693111142,5,26.125803,4.9954515,3.8997242
7,10,42095,42099,Gulf,400.60397784780025,0.39008830894442226,1,26.438242,5.3916416,4.209012
9,8,42098,42097,Gulf,221.68021860931267,0.7329440076046063,2,16.128601,4.8906727,3.817928
10,8,42099,42097,Gulf,193.38260067178692,0.8247178569824173,2,12.944078,5.315995,4.149958
9,10,42098,42099,Gulf,135.20950856632402,0.8226344294226304,0,9.629688,4.9961257,3.9002504
11,12,41120,44008,Mid-Atlantic,786.9492623646845,0.4759843249171859,16,34.292927,8.165458,6.3744054
11,13,41120,44009,Mid-Atlantic,359.9310458892738,0.6300925786977203,3,16.080847,7.9643207,6.2173867
11,14,41120,44014,Mid-Atlantic,154.9006841676716,0.8540401431335457,2,6.8524547,8.043509,6.2792053
11,15,41120,44025,Mid-Atlantic,586.0483456877906,0.41470699861975835,8,26.841434,7.7690177,6.0649223
16,11,44056,41120,Mid-Atlantic,111.674246068919,0.8234269142585131,1,4.671626,8.5059595,6.6402197
17,11,44062,41120,Mid-Atlantic,380.22502450589457,0.3262553643925098,6,22.163494,6.104369,4.7654066
18,11,44063,41120,Mid-Atlantic,424.677058942127,0.22994690190210845,7,26.644058,5.671485,4.427473
11,19,41120,44065,Mid-Atlantic,584.9647171992664,0.43886615201128715,7,26.621017,7.8188586,6.103831
20,11,44072,41120,Mid-Atlantic,233.2786244677565,0.4230503880890566,4,12.425317,6.680452,5.215128
11,21,41120,44086,Mid-Atlantic,83.52714351360038,0.8973577710959618,0,3.5797887,8.302494,6.481384
22,11,44087,41120,Mid-Atlantic,212.45429154692667,0.6731118723784061,3,10.558526,7.159795,5.5893292
11,23,41120,44088,Mid-Atlantic,155.82003754107504,0.8469021093698998,2,6.8728485,8.067238,6.29773
11,24,41120,44089,Mid-Atlantic,277.78792324760326,0.7066698817220325,1,12.10582,8.165026,6.3740683
11,25,41120,44091,Mid-Atlantic,519.4131110414689,0.48805849620343983,6,23.34027,7.918545,6.181652
27,11,44099,41120,Mid-Atlantic,188.38739986772282,0.7972234965533147,1,8.31874,8.0581,6.290596
11,28,41120,44100,Mid-Atlantic,114.50742771171006,0.8597591821536776,0,4.9250584,8.272954,6.458323
13,12,44009,44008,Mid-Atlantic,518.7924671706678,0.6890314216507634,10,23.04238,8.011332,6.254086
14,12,44014,44008,Mid-Atlantic,650.4939332032696,0.5969281652160624,11,28.60467,8.091791,6.3168974
15,12,44025,44008,Mid-Atlantic,333.1910826531631,0.7781839336591664,8,15.160465,7.8202243,6.104897
16,12,44056,44008,Mid-Atlantic,738.5119325728818,0.340477393851256,12,30.734743,8.550003,6.6746025
17,12,44062,44008,Mid-Atlantic,650.8639566778658,0.34849689765271974,16,37.572002,6.1640224,4.811975
