baseline,config,mechanism,target,metric,mean,std,n_seeds
mean_fill,mcar_50,mcar,WVHT,MRE,0.33654445760012136,0.0002263687040374966,3
mean_fill,mcar_50,mcar,WVHT,RMSE,0.7062337217847481,0.0004501420185332082,3
mean_fill,station_outage_720,station_outage,APD,MAE,1.2346261439175208,0.11185255804337703,3
mean_fill,station_outage_720,station_outage,APD,MRE,0.180483850324666,0.013987532283465214,3
mean_fill,station_outage_720,station_outage,APD,RMSE,1.6898136536184278,0.152081176234315,3
mean_fill,station_outage_720,station_outage,WVHT,MAE,0.5668446594879859,0.0690536915616504,3
mean_fill,station_outage_720,station_outage,WVHT,MRE,0.31555144432644183,0.010561637746668674,3
mean_fill,station_outage_720,station_outage,WVHT,RMSE,0.8378404722683421,0.1064373439313219,3
mean_fill,station_outage_full,station_outage,APD,MAE,0.9547510744871346,0.037850269056617016,3
mean_fill,station_outage_full,station_outage,APD,MRE,0.15827581796880172,0.009406669675520136,3
mean_fill,station_outage_full,station_outage,APD,RMSE,1.2657292789551902,0.06864076251264442,3
mean_fill,station_outage_full,station_outage,WVHT,MAE,0.4582954453819212,0.011869943887413635,3
mean_fill,station_outage_full,station_outage,WVHT,MRE,0.3139726349072481,0.011614704062542105,3
mean_fill,station_outage_full,station_outage,WVHT,RMSE,0.6579229086991868,0.006487929108870471,3
spatial_idw,block_10,block,APD,MAE,0.77208407114196,0.026714603692099118,3
spatial_idw,block_10,block,APD,MRE,0.12944315356512023,0.0035995098057162926,3
spatial_idw,block_10,block,APD,RMSE,1.0996639073538608,0.04057317568919173,3
spatial_idw,block_10,block,WVHT,MAE,0.3655172028150191,0.004313808416371794,3
spatial_idw,block_10,block,WVHT,MRE,0.2623035919460487,0.0037592603095090928,3
spatial_idw,block_10,block,WVHT,RMSE,0.5611976652594358,0.011459921730374719,3
spatial_idw,block_30,block,APD,MAE,0.7887363265067755,0.014781001028901484,3
spatial_idw,block_30,block,APD,MRE,0.13430651804761287,0.001368317635187288,3
spatial_idw,block_30,block,APD,RMSE,1.1173567876146302,0.02058481310112784,3
spatial_idw,block_30,block,WVHT,MAE,0.3814614333644641,0.009211777217765943,3
spatial_idw,block_30,block,WVHT,MRE,0.28540527834366075,0.005021002159478376,3
spatial_idw,block_30,block,WVHT,RMSE,0.5819001920109235,0.01539201113272595,3
